2025-07-22 00:03:02 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:03:13 INFO  [main] hotelsystem.UI.action.room.ShowAllRoomsAction - Пользователь выбрал команду: вывод всех комнат
2025-07-22 00:03:14 INFO  [main] hotelsystem.UI.action.room.ShowAllRoomsAction - Выведено комнат: 14
2025-07-22 00:04:32 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:04:36 INFO  [main] hotelsystem.UI.action.booking.ShowAllBookingsAction - Пользователь выбрал команду: вывод всех бронирований
2025-07-22 00:04:38 INFO  [main] hotelsystem.UI.action.booking.ShowAllBookingsAction - Выведено активных бронирований: 7
2025-07-22 00:13:50 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:13:57 INFO  [main] hotelsystem.UI.action.client.ShowAllClientsAction - Пользователь выбрал команду: вывод всех клиентов
2025-07-22 00:13:59 INFO  [main] hotelsystem.UI.action.client.ShowAllClientsAction - Выведено клиентов: 9
2025-07-22 00:14:21 INFO  [main] hotelsystem.UI.action.amenity.ShowAllAmenitiesAction - Пользователь выбрал команду: вывод всех услуг
2025-07-22 00:14:21 INFO  [main] hotelsystem.UI.action.amenity.ShowAllAmenitiesAction - Выведено услуг: 5
2025-07-22 00:21:11 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:21:17 INFO  [main] hotelsystem.UI.action.room.AddRoomAction - Пользователь выбрал команду: добавление новой комнаты
2025-07-22 00:21:19 ERROR [main] hotelsystem.UI.action.room.AddRoomAction - Ошибка при добавлении комнаты: Невозможно сохранить комнату
2025-07-22 00:22:39 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:22:44 INFO  [main] hotelsystem.UI.action.room.AddRoomAction - Пользователь выбрал команду: добавление новой комнаты
2025-07-22 00:22:44 INFO  [main] hotelsystem.UI.action.room.AddRoomAction - Комната успешно добавлена: номер=105, тип=DELUXE, цена=5000.0
2025-07-22 00:24:42 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:24:46 INFO  [main] hotelsystem.UI.action.booking.CreateBookingAction - Пользователь выбрал команду: создание бронирования
2025-07-22 00:24:46 INFO  [main] hotelsystem.UI.action.booking.CreateBookingAction - Бронирование создано для комнаты: 105
2025-07-22 00:25:07 INFO  [main] hotelsystem.UI.action.room.SortRoomsByPriceAction - Пользователь выбрал команду: сортировка комнат по цене
2025-07-22 00:25:07 INFO  [main] hotelsystem.UI.action.room.SortRoomsByPriceAction - Выведено комнат: 15
2025-07-22 00:25:12 INFO  [main] hotelsystem.UI.action.room.SortRoomsByTypeAction - Пользователь выбрал команду: сортировка комнат по типу
2025-07-22 00:25:12 INFO  [main] hotelsystem.UI.action.room.SortRoomsByTypeAction - Выведено комнат: 15
2025-07-22 00:25:19 INFO  [main] hotelsystem.UI.action.client.RegisterClientAction - Пользователь выбрал команду: регистрация клиента
2025-07-22 00:25:24 INFO  [main] hotelsystem.UI.action.client.RegisterClientAction - Клиент зарегистрирован: id=cl123, имя='Иванов Иван'
2025-07-22 00:25:29 INFO  [main] hotelsystem.UI.action.booking.ShowAllBookingsAction - Пользователь выбрал команду: вывод всех бронирований
2025-07-22 00:25:29 INFO  [main] hotelsystem.UI.action.booking.ShowAllBookingsAction - Выведено активных бронирований: 8
2025-07-22 00:32:31 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:32:36 INFO  [main] hotelsystem.UI.action.report.ShowRevenueReportAction - Пользователь выбрал команду: отчет по выручке
2025-07-22 00:32:36 INFO  [main] hotelsystem.UI.action.report.ShowRevenueReportAction - Общая выручка: 125000.00 руб.
2025-07-22 00:32:44 INFO  [main] hotelsystem.UI.action.amenity.AddAmenityToClientAction - Пользователь выбрал команду: добавление услуги клиенту
2025-07-22 00:32:44 INFO  [main] hotelsystem.UI.action.amenity.AddAmenityToClientAction - Услуга 'SPA' добавлена клиенту cl123
2025-07-22 00:34:16 WARN  [main] org.reflections.Reflections - Scan complete.
2025-07-22 00:34:21 INFO  [main] hotelsystem.UI.action.export.ExportBookingsToCsvAction - Пользователь выбрал команду: экспорт бронирований в CSV
2025-07-22 00:34:21 INFO  [main] hotelsystem.UI.action.export.ExportBookingsToCsvAction - Экспортировано бронирований: 8, файл: data/bookings_export.csv
